id,topic,angle,visual_subject,preset,motion,duration,seeds
af_neural,"How neural networks actually learn",mind-blowing,interconnected glowing nodes forming a brain,,,,
af_transformers,"What attention really means in transformers",curious,a lone geometric robot contemplating a floating data orb,,,,
af_gpu,"Why GPUs changed AI forever",future,a geometric microchip with glowing circuits,,,,
af_alignment,"The AI alignment problem",cautionary,a looming geometric monolith casting long shadows,,,,
af_imagegen,"How image models dream up pictures",wholesome,soft floating crystal shapes blending colors,crystal,,,
af_scale,"Scaling laws and what they predict",mind-blowing,cascading layers of pulsing geometric cubes,,,,
af_turing,"Alan Turing and the first AI question",historical,a classic geometric typewriter,papercraft,calm,,
af_rag,"Retrieval augmented generation in 30 seconds",future,a geometric robot connected to a glowing library,,,,
af_consciousness,"Is AI consciousness possible?",curious,a geometric figure staring into a void,monument,,,
af_energy,"How much energy training a model uses",cautionary,a geometric power plant with glowing warning lights,,,,
