id,topic,mystery_angle,visual_subject,preset,motion,duration,seeds
hm_dyatlov,The Dyatlov Pass incident,unsolved,a snowy mountain silhouette with a single tent,,,,
hm_roanoke,The lost colony of Roanoke,forgotten,a geometric fort ruin in morning mist,,,,
hm_nazca,The Nazca lines,lost_civilization,ancient geometric patterns carved in the desert,,,,
hm_mh370,MH370's final hours,conspiracy,a faceted plane silhouette over dark ocean,,,,
hm_voynich,The Voynich manuscript,unsolved,an ancient open book under candlelight,,,,
hm_hotel_cecil,The Hotel Cecil elevator,eerie,a lone geometric hotel at night,,,,
hm_amelia,Amelia Earhart's last flight,unsolved,a small plane silhouette over endless ocean,,,,
hm_bermuda,The Bermuda Triangle,eerie,a lone ship silhouette under strange clouds,,,,
hm_library_alex,The lost library of Alexandria,forgotten,ancient columns and scrolls in warm light,,,,
hm_area51,The Area 51 files,cover_up,a desert bunker emerging from harsh shadow,,,,
